time[sec],experiment,estimate
22.0572,-0.779242,-0.663114
22.1072,-0.752433,-0.914454
22.1572,-0.380327,-0.514229
22.2073,-1.95173,-1.47883
22.2573,-2.96807,-3.14294
22.3073,-2.94996,-2.70123
22.3573,-0.825571,-1.395
22.4073,0.487123,0.630257
22.4573,0.736411,0.529697
22.5074,-0.434905,-0.351662
22.5574,-2.00395,-1.97269
22.6074,-3.15873,-3.22351
22.6574,-2.97259,-2.89823
22.7074,-2.3051,-2.39789
22.7575,-2.08664,-1.76633
22.8074,-0.216004,-0.676593
22.8575,1.06711,1.01718
22.9075,2.00402,1.97722
22.9575,2.57667,2.87149
23.0075,2.04444,2.13469
23.0575,0.873893,0.501171
23.1075,0.68933,0.554901
23.1576,0.482964,0.747141
23.2076,0.642408,0.534741
23.2576,0.477396,0.497259
23.3076,0.365275,0.383411
23.3577,1.55181,1.40523
23.4077,2.10781,2.41649
23.4577,2.17326,1.84143
23.5077,0.843527,0.701654
23.5577,0.408724,0.583548
23.6078,1.37198,1.54885
23.6578,1.39436,1.14998
23.7078,1.11949,1.27791
23.7578,1.08793,0.998154
23.8078,-0.115659,-0.251461
