poles list,,,zeros list
Real part,Imaginary part,,Real part,Imaginary part
0.882573,0,,5.63473e-006,0
0.658245,0.28007,,0.54117,0.404513
0.496202,0.608472,,-0.440302,0.482668
-0.182231,0.735081,,-0.996384,3.28463e-021
-0.627574,0.454009,,-0.440302,-0.482668
-0.538013,1.77358e-021,,0.54117,-0.404513
-0.627574,-0.454009,,
-0.182231,-0.735081,,
0.496202,-0.608472,,
0.658245,-0.28007,,
