time[sec],input,output
13.4542,5,18.4274
13.5042,5,18.479
13.5542,1,19.9978
13.6042,1,19.7354
13.6542,5,18.1653
13.7043,5,18.4793
13.7543,5,19.736
13.8043,1,20.8869
13.8543,5,20.6782
13.9044,5,20.1022
13.9544,5,21.2018
14.0044,1,21.7248
14.0544,5,21.1487
14.1044,1,21.0969
14.1544,1,20.8357
14.2044,5,19.055
14.2544,1,19.2119
14.3045,5,19.1075
14.3545,5,19.16
14.4045,1,20.4689
14.4545,1,20.1547
14.5046,1,18.7408
14.5546,5,17.3275
14.6046,5,17.4849
14.6546,1,19.2643
14.7046,5,19.0032
14.7547,5,19.3693
14.8047,5,20.5733
14.8547,5,20.9919
14.9047,1,21.8297
14.9547,5,21.3062
15.0047,5,20.8357
15.0548,1,21.6723
15.1048,5,21.3062
15.1548,1,20.6258
15.2048,5,20.5208
15.2548,5,20.3115
15.3048,1,21.0444
15.3548,5,20.8882
15.4049,5,20.7295
15.4549,1,21.2018
15.5049,1,20.9919
15.5549,5,19.5267
15.6049,1,19.3693
15.6549,1,19.4212
15.7049,5,17.956
15.755,1,18.3228
15.805,1,18.2697
15.855,1,16.8045
15.905,5,15.6524
15.955,5,16.1229
16.0051,5,18.3752
16.0551,1,19.578
16.1051,1,19.736
16.1551,1,18.1134
16.2052,1,16.6989
16.2552,5,15.4431
16.3052,1,16.0716
16.3552,5,16.6471
16.4052,5,17.0132
16.4552,5,19.0025
16.5052,5,19.9978
16.5552,5,20.8875
16.6052,1,21.6723
16.6553,1,21.1499
16.7053,5,19.683
16.7553,1,19.841
16.8053,5,19.4206
16.8553,1,19.4743
16.9053,5,19.3168
16.9554,5,19.3693
17.0054,5,20.5214
17.0554,1,21.1493
17.1054,1,20.8345
17.1554,5,19.3693
17.2055,5,19.16
17.2555,1,20.5739
17.3055,5,20.1547
17.3555,1,20.1016
17.4056,1,19.9972
17.4556,1,18.3746
17.5056,5,17.0138
17.5556,1,17.4849
17.6056,1,17.6417
17.6556,5,16.4378
17.7057,5,16.8039
17.7557,5,18.8457
17.8057,5,19.8404
17.8557,1,20.8357
17.9058,1,20.4683
17.9558,1,18.9507
18.0058,5,17.7461
18.0558,1,17.9035
18.1058,5,18.1134
18.1558,1,18.374
18.2058,1,18.1128
18.2558,1,17.2231
18.3058,1,15.6005
18.3559,5,14.6052
18.4059,5,15.2338
18.4559,1,17.851
18.5059,1,17.6417
18.5559,1,16.4378
18.6059,1,15.0245
18.656,1,13.9773
18.706,5,12.6684
18.756,1,13.9248
18.806,1,14.867
18.856,1,13.7161
18.9061,1,12.3547
18.9561,1,11.2026
19.0061,1,10.3647
19.0561,5,9.26633
19.1061,5,10.9933
19.1561,5,14.7621
19.2062,5,16.9619
19.2562,5,18.9501
19.3062,5,20.154
19.3562,5,20.8357
19.4063,1,21.6198
19.4563,5,20.94
19.5063,1,20.5733
19.5563,5,20.4683
19.6063,1,20.2071
19.6564,5,19.9454
19.7064,1,19.8929
19.7564,1,19.4736
19.8064,5,18.2178
19.8564,5,18.4265
19.9065,1,19.736
19.9565,1,19.6836
20.0065,5,18.0604
20.0565,5,18.2697
20.1065,5,19.736
20.1565,1,20.5733
20.2066,5,20.5214
20.2566,5,20.3634
20.3066,5,20.8351
20.3566,1,21.7248
20.4066,5,21.2543
20.4566,1,20.5727
20.5067,1,20.5739
20.5567,5,19.2119
20.6068,1,19.1075
20.6568,5,19.1075
20.7068,5,18.8457
20.7568,1,20.3121
20.8068,1,20.0497
20.8569,1,18.5839
20.9069,5,17.5374
20.9569,5,17.275
21.0069,1,19.16
21.0569,5,19.055
21.107,5,19.055
21.157,5,20.3121
21.207,5,21.1487
21.257,1,21.7254
21.307,5,21.2012
21.357,5,20.7832
21.407,1,21.5673
21.4571,5,21.0975
21.5071,1,20.94
21.5571,5,20.5202
21.6071,5,20.2071
21.6571,1,21.0962
21.7071,5,20.6264
