time[sec],experiment,y_6u_2estimate
22.0572,-0.779242,-0.718282
22.1072,-0.752433,-0.891767
22.1572,-0.380327,-0.504513
22.2073,-1.95173,-1.50373
22.2573,-2.96807,-3.17339
22.3073,-2.94996,-2.64799
22.3573,-0.825571,-1.43455
22.4073,0.487123,0.632178
22.4573,0.736411,0.557601
22.5074,-0.434905,-0.469501
22.5574,-2.00395,-1.94341
22.6074,-3.15873,-3.21341
22.6574,-2.97259,-2.88864
22.7074,-2.3051,-2.48458
22.7575,-2.08664,-1.76985
22.8074,-0.216004,-0.640393
22.8575,1.06711,1.0422
22.9075,2.00402,2.05748
22.9575,2.57667,2.84368
23.0075,2.04444,2.11764
23.0575,0.873893,0.442765
23.1075,0.68933,0.599477
23.1576,0.482964,0.711661
23.2076,0.642408,0.479645
23.2576,0.477396,0.569834
23.3076,0.365275,0.4345
23.3577,1.55181,1.44373
23.4077,2.10781,2.40282
23.4577,2.17326,1.85599
23.5077,0.843527,0.69728
23.5577,0.408724,0.546041
23.6078,1.37198,1.52139
23.6578,1.39436,1.14765
23.7078,1.11949,1.29675
23.7578,1.08793,1.01189
23.8078,-0.115659,-0.280743
